hostname,ip,community,oids
LocalDevice,127.0.0.1,public,1.3.6.1.2.1.1.1.0;1.3.6.1.2.1.1.5.0
RemoteDevice,10.167.132.161,public,1.3.6.1.2.1.1.1.0;1.3.6.1.2.1.1.5.0
